"","Year","Temp"
"220",1969,8.59508333333333
"221",1970,8.70091666666667
"222",1971,8.59925
"223",1972,8.49958333333333
"224",1973,8.94825
"225",1974,8.4675
"226",1975,8.74483333333333
"227",1976,8.34725
"228",1977,8.85025
"229",1978,8.69275
"230",1979,8.73341666666667
"231",1980,8.98033333333333
"232",1981,9.16583333333333
"233",1982,8.63916666666667
"234",1983,9.02816666666667
"235",1984,8.69183333333333
"236",1985,8.658
"237",1986,8.83358333333333
"238",1987,8.99441666666667
"239",1988,9.20158333333333
"240",1989,8.922
"241",1990,9.23416666666667
"242",1991,9.17941666666667
"243",1992,8.83658333333333
"244",1993,8.86658333333333
"245",1994,9.03875
"246",1995,9.34708333333333
"247",1996,9.03891666666667
"248",1997,9.20258333333333
"249",1998,9.52266666666667
"250",1999,9.28508333333333
"251",2000,9.20116666666667
"252",2001,9.41458333333333
"253",2002,9.57041666666667
"254",2003,9.52558333333333
"255",2004,9.32458333333333
"256",2005,9.70091666666667
"257",2006,9.5325
"258",2007,9.73216666666667
"259",2008,9.43175
"260",2009,9.50525
"261",2010,9.70308333333333
"262",2011,9.516
"263",2012,9.50733333333333
"264",2013,9.6065
"265",2014,9.57066666666667
"266",2015,9.831
